timestamp,nodeid,cpu_utilization,memory_utilization
1742450203500,NODE_minikube,0.032862699321449584,0.4539608016830916
1742450215076,NODE_minikube,0.032734406348922995,0.4535666039198317
1742450225088,NODE_minikube,0.032668846966145915,0.455024791151466
1742450235118,NODE_minikube,0.032668846966145915,0.455024791151466
1742450245146,NODE_minikube,0.032524671968633956,0.45530284575351565
1742450255176,NODE_minikube,0.032517463824934034,0.45464535734937683
1742450265211,NODE_minikube,0.032517463824934034,0.45464535734937683
1742450275239,NODE_minikube,0.0324392710296193,0.45482793833585555
1742450285271,NODE_minikube,0.032268982409263014,0.45320833179542075
1742450295302,NODE_minikube,0.032268982409263014,0.45320833179542075
1742450305338,NODE_minikube,0.03238177534085507,0.4504238487186112
1742450315383,NODE_minikube,0.03226524948437082,0.4479976377662127
1742450325417,NODE_minikube,0.03226524948437093,0.4479976377662127
1742450335444,NODE_minikube,0.03233134955988726,0.44858868834508303
